"Interval start","Cubic RTT H2H","Reno RTT H2H"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0.001511
8,0.001793,0.003785
9,0.022576,0.017376
10,0.065301,0.105482
11,0.204347,0.257454
12,0.31376,0.387606
13,0.390106,0.409977
14,0.440173,0.485646
15,0.509843,0.567518
16,0.588407,0.636121
17,0.686025,0.740136
18,0.178426,0.180308
19,0.239163,0.236203
20,0.335428,0.335016
21,0.5619,0.563207
22,0.564844,0.562819
23,0.936476,0.889254
24,1.17798,1.27041
25,1.34887,1.37184
26,1.40514,1.34291
27,0.733823,0.736476
28,0.345494,0.346142
29,0.341293,0.341179
30,0.445187,0.445276
31,0.725044,0.724527
32,1.04771,1.04682
33,1.16613,1.16623
34,1.45112,1.4521
35,1.48079,1.54346
36,2.86742,1.54258
37,1.3034,1.29602
38,1.30097,1.29788
39,0.549209,0.57091
40,0.350718,0.445001
41,0.705806,0.95292
42,1.14506,1.18848
43,1.29055,1.28988
44,1.35522,1.35472
45,1.36464,1.39118
46,1.40477,1.40392
47,1.41118,1.41032
48,1.41083,1.41402
49,1.28798,1.28842
50,0.457784,0.37549
51,0.906614,0.907428
52,1.20075,1.13839
53,1.33816,1.33714
54,1.419,1.4179
55,1.48369,1.48448
56,1.53925,1.54026
57,1.54645,1.54457
58,2.26344,2.77318
59,1.15938,2.75293
60,0.477856,0.474625
61,0.877371,0.756141
62,0.991223,0.990868
63,1.08792,1.07055
64,1.13683,1.11686
65,1.17275,1.1356
66,1.16097,1.15674
67,1.16469,1.16168
68,1.19514,1.20145
69,1.15639,1.16043
70,1.15952,1.15954
71,1.05449,1.09111
72,1.15055,1.13617
73,1.21959,1.21981
74,1.2677,1.26717
75,1.32655,1.32628
76,1.41593,1.39418
77,1.52112,1.51989
78,1.53065,1.54983
79,2.65762,0
80,2.35113,2.80497
81,0.967922,0.958568
82,1.10087,1.06805
83,1.11894,1.15238
84,1.14965,1.1484
85,1.17457,1.17432
86,1.22487,1.18809
87,1.23053,1.18985
88,1.2315,1.19294
89,1.19976,1.1993
90,1.05566,1.05583
91,0.738441,0.825093
92,1.0104,1.06597
93,1.14078,1.14103
94,1.20853,1.20817
95,1.2604,1.25939
96,1.31488,1.31378
97,1.33583,1.37143
98,1.44248,1.44343
99,1.19817,1.4948
100,0.515266,0.578208
101,0.886764,0.885762
102,1.25653,1.25734
103,1.52485,1.53774
104,1.61784,1.61684
105,1.5966,1.60911
106,1.45905,0
107,1.41183,1.49769
108,2.63663,1.38349
109,0.732852,0.728731
110,0.463929,0.462533
111,0.832755,0.825409
112,1.11709,1.1175
113,1.26316,1.26337
114,1.28815,1.32821
115,1.38836,1.35069
116,1.37723,1.3755
117,1.39547,1.39335
118,1.39692,1.39363
119,0.781408,0.773262
120,0.443961,0.344898
121,0.802643,0.803161
122,1.15755,1.15528
123,1.25755,1.16256
124,1.3143,1.31456
125,1.38496,1.38625
126,1.41536,0
127,1.43908,1.43973
128,1.50951,1.50957
129,1.53975,0
130,1.54972,1.54915
131,1.01912,1.02798
132,1.26502,1.24784
133,1.31419,1.31437
134,1.42682,1.42609
135,1.49702,1.49694
136,1.5252,1.52491
137,1.56046,1.56283
138,0,0
139,2.57848,2.92142
140,1.13123,2.17474
141,0.907207,0.911118
142,1.00823,1.00871
143,1.04335,1.04293
144,1.06842,1.06973
145,1.08729,1.11329
146,1.10231,1.10052
147,1.10718,1.10742
148,1.11206,1.11129
149,1.11273,1.11088
150,0.447809,0.446113
151,0.774438,0.80224
152,0.958606,1.00779
153,1.0716,1.08042
154,1.13053,1.13021
155,1.17447,1.16223
156,1.22394,1.22229
157,1.28938,1.28923
158,1.35058,1.3699
159,1.4659,1.43287
160,1.49417,1.53796
161,1.00339,0.871148
162,1.28533,1.28616
163,1.54309,1.6026
164,0,1.62877
165,3.20025,1.58103
166,2.93191,1.35708
167,1.36611,2.44669
168,1.00801,1.00697
169,0.404356,0.459086
170,0.36047,0.460577
171,0.774269,0.899577
172,1.27462,1.27751
173,1.40784,1.40936
174,1.44958,1.47389
175,1.54053,1.56784
176,1.59374,1.5875
177,0.002842,1.57953
178,3.06935,1.58148
179,0.534322,0.52003
180,0.474497,0.372816
181,0.841608,0.68453
182,1.17587,1.09276
183,1.30072,1.25709
184,1.35249,1.31316
185,1.36757,1.36575
186,1.38925,1.37908
187,1.40426,1.40238
188,1.45081,1.41207
189,1.39141,1.39008
190,0.432269,0.448535
191,0.906687,0.907741
192,1.11645,1.17882
193,1.30321,1.3036
194,1.37151,1.36926
195,1.41622,1.41722
196,1.43724,1.44611
197,1.48343,1.48301
198,1.50956,1.50276
199,1.50963,1.13337
200,0.461193,0.480333
201,0.997668,0.998027
202,1.16235,1.16444
203,1.31492,1.31916
204,1.39551,1.38042
205,1.45661,1.45628
206,1.49987,1.50119
207,1.52218,1.51753
208,1.52212,1.52318
209,7.7e-05,1.45532
210,1.23484,2.05195
211,0.887677,0.886376
212,0.984692,0.976554
213,1.01269,1.01324
214,1.04898,1.03201
215,1.05249,1.05229
216,1.07443,1.06507
217,1.10799,1.07166
218,1.07386,1.0734
219,1.07799,1.07823
220,1.08255,1.08263
221,0.859904,0.901115
222,1.07148,1.077
223,1.0951,1.08402
224,1.18416,1.1888
225,1.26825,1.26306
226,1.34559,1.34492
227,1.41403,1.41727
228,1.36609,1.36909
229,0.383808,0.383623
230,0.445047,0.438908
231,0.868492,0.867877
232,1.18641,1.18557
233,1.38957,1.38982
234,1.60007,1.62281
235,0,0
236,3.20791,1.52035
237,1.36879,1.36083
238,2.41047,1.35699
239,0.822717,0.783113
240,0.466524,0.409977
241,0.85775,0.735559
242,1.18897,1.1829
243,1.33831,1.33836
244,1.39333,1.43508
245,1.46411,1.41457
246,1.49253,1.46063
247,1.50433,1.47295
248,1.51914,1.47722
249,1.5093,1.47019
250,1.23445,0.980697
251,0.894404,0.768392
252,1.18224,1.18179
253,1.26404,1.31198
254,1.4081,1.40832
255,1.47811,1.45656
256,1.48925,1.50903
257,1.55688,1.55522
258,2.3732,2.37023
259,0.38089,0.390365
260,0.450846,0.449908
261,0.839387,0.847516
262,1.22166,1.22298
263,1.35769,1.329
264,1.39289,1.45154
265,1.5077,1.51555
266,1.52074,1.52266
267,0,2.95641
268,1.38412,1.44516
269,1.00448,1.00507
270,0.464818,0.460912
271,0.852458,0.852713
272,0.98236,0.984123
273,1.03761,1.06029
274,1.09926,1.10315
275,1.12328,1.12076
276,1.13445,1.09337
277,1.09633,1.13601
278,1.09519,1.0963
279,0.488255,0.487862
280,0.445078,0.444159
281,0.570255,0.570231
282,0.810775,0.806939
283,0.991518,0.990661
284,1.07078,1.0719
285,1.11927,1.11817
286,1.16489,1.1635
287,1.22698,1.22785
288,1.2769,1.27589
289,1.01999,1.02128
