"Interval start","Reno RTT","Cubic RTT"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0.023092
7,0.109819,0.163162
8,0.15024,0.20622
9,0.19623,0.25896
10,0.280019,0.333888
11,0.600654,0.633472
12,0.75842,0.825152
13,0.876044,0.938519
14,0.985423,1.05812
15,1.41804,1.42423
16,1.73032,1.75642
17,1.92856,2.02677
18,2.19675,2.23102
19,1.71656,1.7519
20,1.62992,1.56565
21,2.33614,2.25959
22,2.92207,2.86758
23,3.38011,3.32511
24,4.74833,4.58493
25,5.47598,0
26,0,6.20569
27,6.83717,7.21505
28,0,8.23391
29,0,0
30,10.6145,0
31,11.0846,11.2666
32,11.2936,11.7283
33,11.327,12.0102
34,11.3688,11.6081
35,10.9499,11.7691
36,11.0771,0
37,6.22074,11.5001
38,0,11.0635
39,0,7.8819
40,0,0
41,0,0
42,0,0
43,5.37896,0
44,0,13.0841
45,0,13.5331
46,0,10.421
47,0,0
48,0,0
49,0,13.1226
50,11.7186,11.6039
51,0,4.85633
52,0,3.24216
53,3.5438,3.52316
54,4.14269,4.21607
55,4.33337,4.20563
56,4.80495,4.7607
57,5.03931,4.95918
58,5.15358,5.14842
59,5.23755,5.23497
60,5.23828,5.30036
61,5.13163,4.76144
62,5.18112,4.76137
63,5.48371,4.76871
64,5.54039,4.86743
65,5.65844,5.18722
66,5.91786,5.8491
67,6.70669,6.29724
68,6.79107,6.48491
69,7.30873,7.15656
70,7.52299,7.74789
71,7.04067,7.71792
72,0,7.31967
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,16.7307,0
81,9.72296,16.5737
82,0,0
83,0,0
84,0,0
85,0,4.2466
86,0,5.44148
87,6.33274,6.33334
88,6.50249,0
89,6.07954,0
90,5.68033,0
91,4.5507,0
92,4.20766,0
93,4.25246,12.0148
94,4.35132,11.7805
95,4.92559,11.4588
96,5.61011,11.6568
97,5.75028,11.7035
98,5.3687,11.1755
99,3.17078,3.29087
100,2.00852,1.86431
101,2.43059,2.38912
102,3.26912,3.17986
103,3.802,3.714
104,4.55486,4.52101
105,5.64599,5.11096
106,5.92215,6.47398
107,7.20892,7.48579
108,0,7.95976
109,0,8.03517
110,0,7.17807
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,12.0082
117,16.7697,0
118,0,0
119,0,10.3565
120,3.5921,10.263
121,4.50559,3.10911
122,4.72041,3.15568
123,3.88024,3.73045
124,4.55433,4.41673
125,5.19442,5.12916
126,5.54552,5.75933
127,5.58792,6.12573
128,5.77554,6.94479
129,5.92989,6.97893
130,5.14862,6.25625
131,3.35889,5.34376
132,3.19679,5.10008
133,3.2775,4.92336
134,4.44241,5.25554
135,0,5.94528
136,6.05705,0
137,6.98911,7.31251
138,7.42611,7.82724
139,6.22335,0
140,2.86369,9.77822
141,0,7.52703
142,0,6.63675
143,0,3.58906
144,0,4.47064
145,0,5.23463
146,8.28128,5.54074
147,8.85195,6.01239
148,9.49508,6.29439
149,10.4127,6.30627
150,10.7239,6.44726
151,11.2822,6.52981
152,11.5175,6.53551
153,0,6.49815
154,0,6.60501
155,0,6.66832
156,0,0
157,0,0
158,0,0
159,7.07222,0
160,13.7616,11.821
161,3.37242,0
162,2.81795,0
163,3.80117,0
164,4.706,0
165,5.48953,0
166,5.90233,0
167,0,11.8615
168,7.57765,13.2173
169,7.61993,0
170,7.22501,0
171,5.40426,3.00137
172,3.88064,3.35066
173,4.36346,3.42877
174,4.89153,3.84198
175,5.52164,4.42671
176,6.28678,4.45
177,7.04682,4.72045
178,7.38757,4.89329
179,7.81707,4.8741
180,7.86542,5.21072
181,7.23786,4.49322
182,0,4.12638
183,0,3.72585
184,0,4.103
185,0,4.81124
186,0,5.03616
187,0,5.66315
188,14.3561,6.42969
189,0,5.41997
190,0,3.46145
191,9.80136,2.38525
192,0,0
193,0,0
194,0,0
195,0,0
196,5.60527,0
197,5.67867,8.68343
198,5.14084,8.70399
199,3.00111,8.55027
200,1.72172,0
201,2.12459,0
202,2.74548,0
203,3.44354,11.9932
204,4.16943,5.98419
205,4.811,4.73305
206,5.28719,4.86439
207,5.89475,5.20809
208,6.12424,5.19833
209,6.13526,5.3689
210,4.25707,3.99239
211,2.63831,2.07157
212,3.19103,2.72033
213,3.69678,3.49006
214,4.6943,3.76888
215,0,5.05013
216,0,5.91226
217,0,6.23556
218,0,7.56404
219,0,8.0579
220,0,7.82263
221,11.2138,5.86798
222,11.8634,5.18771
223,12.6746,5.30797
224,12.8416,5.47902
225,12.87,5.78065
226,14.4591,7.12562
227,14.1988,0
228,13.9408,0
229,7.59018,0
230,3.44042,10.5007
231,2.52016,10.4382
232,3.39037,10.0931
233,4.02655,9.40811
234,5.05229,10.02
235,5.76399,9.75876
236,6.23799,0
237,7.75331,0
238,7.73275,8.14308
239,0,0
240,0,0
241,0,0
242,0,0
243,13.3705,13.453
244,13.7441,13.6951
245,14.0455,0
246,14.0427,0
247,13.4147,13.0409
248,13.2645,11.7241
249,13.3021,6.34171
250,6.10351,5.83127
251,4.06469,3.81606
252,2.82461,2.77941
253,3.60123,3.42326
254,4.30862,4.24069
255,5.15458,4.81039
256,5.52839,5.22949
257,6.34907,6.18831
258,6.46671,6.1567
259,5.55473,5.29003
260,2.78954,2.2265
261,2.71232,2.66176
262,3.30399,2.78993
263,3.87362,3.82272
264,4.97518,4.92938
265,0,0
266,6.5531,6.62486
267,0,0
268,0,0
269,0,0
270,0,0
271,11.1279,11.3845
272,11.7697,11.6284
273,12.1042,12.3436
274,11.2331,12.7778
275,0,11.8897
276,9.8066,11.3004
277,5.45014,11.0241
278,5.74331,6.33451
279,6.10191,6.1335
280,6.12597,6.46546
281,5.54176,6.0173
282,4.82232,5.57865
283,4.74832,4.8205
284,4.19952,4.50876
285,4.85164,4.65702
286,5.10855,5.31453
287,5.4482,5.1171
288,0,0
289,6.65621,6.53605
290,3.52714,3.28581
291,2.09075,1.88531
292,2.74405,2.53529
293,3.20909,3.29381
294,3.94863,3.98268
295,4.49331,4.5532
296,4.82142,5.04932
297,5.078,5.28299
298,5.46298,5.45589
299,5.64461,5.61652
300,5.66777,5.61805
301,5.18951,4.69649
302,0,0
303,6.50697,6.02499
304,4.12965,5.11676
305,3.74892,3.77189
306,0,0
307,4.02133,5.8625
308,3.54096,1.78612
309,1.57292,1.55956
310,1.58562,1.5943
311,1.61615,1.65723
312,1.6494,1.71216
313,1.69534,1.75972
314,1.80024,1.8288
315,1.82497,1.85442
316,1.8405,1.85938
317,1.86542,1.8635
318,1.88064,1.86616
319,1.88762,1.88602
320,1.90645,1.91517
321,1.92809,1.97689
322,1.98322,2.01187
323,2.02429,0
324,0,4.00937
325,4.05059,4.00221
326,3.88377,3.6165
327,3.66192,1.67505
328,1.63618,1.67916
